key_id,note_name,length,density
0,A0,1.500,0.0150
1,A#0,1.480,0.0130
2,B0,1.460,0.0115
3,C1,1.440,0.0100
4,C#1,1.420,0.0090
5,D1,1.400,0.0080
6,D#1,1.380,0.0075
7,E1,1.360,0.0070
8,F1,1.340,0.0065
9,F#1,1.320,0.0060
10,G1,1.300,0.0055
11,G#1,1.280,0.0050
12,A1,1.260,0.0048
13,A#1,1.240,0.0045
14,B1,1.220,0.0043
15,C2,1.200,0.0040
16,C#2,1.180,0.0038
17,D2,1.160,0.0035
18,D#2,1.140,0.0033
19,E2,1.120,0.0030
20,F2,1.100,0.0028
21,F#2,1.080,0.0026
22,G2,1.060,0.0024
23,G#2,1.040,0.0022
24,A2,1.020,0.0020
25,A#2,1.000,0.0019
26,B2,0.980,0.0018
27,C3,0.960,0.0017
28,C#3,0.940,0.0016
29,D3,0.920,0.0015
30,D#3,0.900,0.0014
31,E3,0.880,0.0013
32,F3,0.860,0.0012
33,F#3,0.840,0.0011
34,G3,0.820,0.0010
35,G#3,0.800,0.00095
36,A3,0.780,0.00090
37,A#3,0.760,0.00085
38,B3,0.740,0.00080
39,C4,0.720,0.00075
40,C#4,0.700,0.00070
41,D4,0.680,0.00065
42,D#4,0.660,0.00060
43,E4,0.640,0.00055
44,F4,0.620,0.00050
45,F#4,0.600,0.00048
46,G4,0.580,0.00046
47,G#4,0.560,0.00044
48,A4,0.540,0.00042
49,A#4,0.520,0.00040
50,B4,0.500,0.00038
51,C5,0.480,0.00036
52,C#5,0.460,0.00034
53,D5,0.440,0.00032
54,D#5,0.420,0.00030
55,E5,0.400,0.00028
56,F5,0.380,0.00026
57,F#5,0.360,0.00024
58,G5,0.340,0.00022
59,G#5,0.320,0.00020
60,A5,0.300,0.00019
61,A#5,0.280,0.00018
62,B5,0.260,0.00017
63,C6,0.240,0.00016
64,C#6,0.220,0.00015
65,D6,0.200,0.00014
66,D#6,0.180,0.00013
67,E6,0.160,0.00012
68,F6,0.140,0.00011
69,F#6,0.120,0.00010
70,G6,0.100,0.00009
71,G#6,0.090,0.00008
72,A6,0.080,0.00007
73,A#6,0.070,0.00006
74,B6,0.060,0.00005
75,C7,0.050,0.00004
76,C#7,0.045,0.000035
77,D7,0.040,0.00003
78,D#7,0.035,0.000025
79,E7,0.030,0.00002
80,F7,0.025,0.000015
81,F#7,0.020,0.000012
82,G7,0.018,0.00001
83,G#7,0.016,0.000008
84,A7,0.014,0.000007
85,A#7,0.012,0.000006
86,B7,0.010,0.000005
87,C8,0.008,0.000004